book_id,title,author,author_last_first,additional_Authors,isbn,isbn13,my_rating,publisher,binding,number_of_pages,year_published,original_publication_year,date_read,date_added,bookshelves,bookshelves_with_positions,read_status,my_review,spoiler,private_notes,read_count,owned_copies
10427352,Wide Sargasso Sea,Jean Rhys,"Rhys, Jean",,"=""0241951550""","=""9780241951552""",0,Penguin,Paperback,152,2011,1966,2026/04/21,2026/04/21,,,read,,,,1,0
17188744,An Abundance of Katherines,John  Green,"Green, John",,"=""""","=""""",3,Penguin Books Ltd,Paperback,226,2012,2006,2020/09/17,2015/04/08,young-adult,young-adult (#44),read,,,,1,1
58959523,Project Hail Mary,Andy Weir,"Weir, Andy",,"=""1529157463""","=""9781529157468""",0,Penguin,Paperback,476,2022,2021,2026/04/03,2026/04/03,,,read,,,,1,0
24947841,The Post-Birthday World,Lionel Shriver,"Shriver, Lionel",,"=""0007578032""","=""9780007578030""",0,Harper Collins,Paperback,608,2015,2007,,2026/03/15,did-not-finish,did-not-finish (#1),did-not-finish,,,,1,0
1184390,Starter for Ten,David Nicholls,"Nicholls, David",,"=""0340734876""","=""9780340734872""",4,Hodder,Paperback,362,2004,2003,2020/04/10,2015/05/28,,,read,,,,1,0
231874971,All the Best for the Future: Growing Up Without Growing Old,Greg James,"James, Greg",,"=""""","=""""",0,Ebury Digital,Audible Audio,,2025,,2026/01/31,2026/01/31,,,read,,,,1,0
216148977,"Heated Rivalry (Game Changers, #2)",Rachel Reid,"Reid, Rachel",,"=""1335534636""","=""9781335534637""",0,Carina Press,Paperback,368,2024,2019,2026/01/03,2026/01/03,,,read,,,,1,0
29845906,Nevernight (The Nevernight Chronicle #1),Jay Kristoff,"Kristoff, Jay",,"=""0008179999""","=""9780008179991""",4,HarperVoyager,Paperback,448,2016,2016,2016/12/23,2016/11/30,"fantasy, young-adult","fantasy (#61), young-adult (#65)",read,,,,1,0
230835165,All the Colours of the Dark,Chris  Whitaker,"Whitaker, Chris",,"=""1398707678""","=""9781398707672""",0,Orion,Paperback,580,2025,2024,2025/11/07,2025/11/02,,,read,,,,1,0
222532978,"Sunbringer (Fallen Gods, #2)",Hannah Kaner,"Kaner, Hannah",,"=""0008521557""","=""9780008521554""",0,Harper Collins Publishers,Paperback,370,2025,2024,,2025/11/02,currently-reading,currently-reading (#4),currently-reading,,,,1,0
17157434,"Howl's Moving Castle (Howl's Moving Castle, #1)",Diana Wynne Jones,"Jones, Diana Wynne",,"=""""","=""""",0,Harper Collins Children's eBooks,Kindle Edition,320,2012,1986,,2025/11/02,currently-reading,currently-reading (#3),currently-reading,,,,1,0
203956677,Buried Deep and Other Stories,Naomi Novik,"Novik, Naomi",,"=""0593600355""","=""9780593600351""",0,Del Rey,Hardcover,430,2024,2024,,2025/11/02,currently-reading,currently-reading (#2),currently-reading,,,,1,0
217861692,poyums,Len Pennie,"Pennie, Len",,"=""1837260214""","=""9781837260218""",0,Canongate Books,Paperback,128,2025,2024,2025/11/02,2025/11/02,,,read,,,,1,0
61099590,"The Undertaking of Hart and Mercy (Hart and Mercy, #1)",Megan Bannen,"Bannen, Megan",,"=""0356518663""","=""9780356518664""",0,"Little, Brown Book Group",Paperback,448,2022,2022,2025/11/02,2025/11/02,,,read,,,,1,0
137969758,"The Adventures of Amina al-Sirafi (Amina al-Sirafi, #1)",Shannon Chakraborty,"Chakraborty, Shannon",,"=""0008615241""","=""9780008615246""",0,Harper Voyagers,Hardcover,471,2023,2023,2025/07/15,2025/07/14,,,read,,,,1,0
223747542,Voyage of the Damned,Frances   White,"White, Frances",,"=""1405956593""","=""9781405956598""",0,Penguin Books Ltd,Paperback,496,2025,2024,2025/06/02,2025/06/02,,,read,,,,1,0
134915247,Babel,R.F. Kuang,"Kuang, R.F.",,"=""0008501858""","=""9780008501853""",0,HarperCollins ,Paperback,546,2023,2022,2025/05/25,2024/12/24,,,read,,,,1,0
21956219,"Assassin's Apprentice (Farseer Trilogy, #1)",Robin Hobb,"Hobb, Robin",,"=""000756225X""","=""9780007562251""",0,Harper Voyager,Paperback,392,2014,1995,2025/05/23,2025/05/11,,,read,,,,1,0
216523504,Here One Moment,Liane Moriarty,"Moriarty, Liane",,"=""0241396115""","=""9780241396117""",0,PENGUIN,Paperback,488,2024,2024,2025/05/11,2025/05/11,,,read,,,,1,0
199534613,Margo's Got Money Troubles,Rufi Thorpe,"Thorpe, Rufi",,"=""0063356589""","=""9780063356580""",0,William Morrow,Hardcover,304,2024,2024,2025/05/11,2025/05/11,,,read,,,,1,0
28412145,"The Long Way to a Small, Angry Planet (Wayfarers, #1)",Becky Chambers,"Chambers, Becky",,"=""1473619815""","=""9781473619814""",0,Hodder,Paperback,404,2015,2014,2025/02/13,2025/02/13,,,read,,,,1,0
220362300,The Wedding People,Alison Espach,"Espach, Alison",,"=""1399622730""","=""9781399622738""",0,Phoenix (an Imprint of The Orion Publishing Group,Hardcover,384,2024,2024,2025/01/30,2025/01/25,,,read,,,,1,0
56449420,"The Ballad of Songbirds and Snakes (The Hunger Games, #0)",Suzanne Collins,"Collins, Suzanne",,"=""0702309516""","=""9780702309519""",0,Scholastic,Paperback,517,2021,2020,2025/01/12,2024/10/08,,,read,,,,1,0
75254208,Winter Garden,Kristin Hannah,"Hannah, Kristin",,"=""1529089573""","=""9781529089578""",0,Pan Books,Paperback,416,2022,2010,2024/12/12,2024/12/07,,,read,,,,1,0
58311985,Fourteen Days,Margaret Atwood,"Atwood, Margaret","Douglas Preston, Charlie Jane Anders, Joseph Cassara, Angie Cruz, Pat Cummings, Sylvia Day, Emma Donoghue, Dave Eggers, Diana Gabaldon, Jennine Capó Crucet, Tess Gerritsen, John Grisham, María Hinojosa, Mira Jacob, Erica Jong, C.J. Lyons, Celeste Ng, Tommy Orange, Mary Pope Osborne, Alice Randall, Ishmael Reed, Roxana Robinson, Nelly Rosario, James Shapiro, Hampton Sides, R.L. Stine, Nafissa Thompson-Spires, Monique Truong, Scott Turow, Luis Alberto Urrea, Rachel Vail, Weike Want, Caroline Randall Williams, De'Shawn Charles Winslow, Meg Wolitzer","=""0358616387""","=""9780358616382""",0,Harper,Hardcover,363,2024,2024,2024/11/07,2024/10/26,,,read,,,,1,0
